,V1,V2
qNSCI_35,-0.244137697,0.080921777
qNSCI_34,-0.161432786,0.038483827
qNSCI_28,-0.234567184,0.075451583
qNSCI_24,-0.216825304,0.065673364
qNSCI_21,-0.289273249,0.108316381
qNSCI_20,-0.211159366,0.062653846
qNSCI_18,-0.222762584,0.068890775
qNSCI_17,-0.227087439,0.071272836
qNSCI_16,-0.258307078,0.089254089
qNSCI_15,-0.255488296,0.087575227
qNSCII_96,-0.239527926,0.078272133
qNSCII_87,-0.220645821,0.067736915
qNSCII_85,-0.083577956,0.009757851
qNSCII_73,-0.208362928,0.061182752
qNSCII_7,-0.373404864,0.164063126
qNSCII_63,-0.134540143,0.027258749
qNSCII_58,-0.158285789,0.03709859
qNSCII_48,-0.181379259,0.047661646
qNSCII_47,-0.278601449,0.101628446
qNSCII_42,-0.247101569,0.082642984
qNSCII_414,-0.220540483,0.067679777
qNSCII_413,-0.235275328,0.075851595
qNSCII_410,-0.298203817,0.11400385
qNSCII_409,-0.221225482,0.068052167
qNSCII_406,-0.179046399,0.046550596
qNSCII_405,-0.150116885,0.03359549
qNSCII_402,-0.235793721,0.076145312
qNSCII_400,-0.265588203,0.093635098
qNSCII_399,-0.404389352,0.185276541
qNSCII_398,-0.262230934,0.091607901
qNSCII_395,-0.247451698,0.082846795
qNSCII_394,-0.19800766,0.055849285
qNSCII_390,-0.216672633,0.065591232
qNSCII_39,-0.232228657,0.074135363
qNSCII_384,-0.223358269,0.06921713
qNSCII_382,-0.265965227,0.093863906
qNSCII_38,-0.305877604,0.118948277
qNSCII_379,-0.273147676,0.098254012
qNSCII_376,-0.188202498,0.050966788
qNSCII_373,-0.422571234,0.197771844
qNSCII_370,-0.258260713,0.089226415
qNSCII_365,-0.143839956,0.030985702
qNSCII_364,-0.20213612,0.057953735
qNSCII_360,-0.165126755,0.040127754
qNSCII_357,-0.293799068,0.111190033
qNSCII_356,-0.1586084,0.037239237
qNSCII_354,-0.092304619,0.012398405
qNSCII_352,-0.199631462,0.056673459
qNSCII_350,-0.204155965,0.058995126
qNSCII_35,-0.250128667,0.084412152
qNSCII_346,-0.213511385,0.063900863
qNSCII_336,-0.130206563,0.025578166
qNSCII_332,-0.181541294,0.047738842
qNSCII_331,-0.181435434,0.047688408
qNSCII_329,-0.175130017,0.0447085
qNSCII_326,-0.161258855,0.03840708
qNSCII_324,-0.122390833,0.022631757
qNSCII_320,-0.202773995,0.058281692
qNSCII_316,-0.177035519,0.0456017
qNSCII_312,-0.169104284,0.041927237
qNSCII_311,-0.251060484,0.084959041
qNSCII_306,-0.25518521,0.087395483
qNSCII_301,-0.185271132,0.049535265
qNSCII_3,-0.103182634,0.015902132
qNSCII_299,-0.290889799,0.109340548
qNSCII_297,-0.146339303,0.03201584
qNSCII_286,-0.17444194,0.044387757
qNSCII_284,-0.188608667,0.051165879
qNSCII_28,-0.268445993,0.095375811
qNSCII_277,-0.194764027,0.054214328
qNSCII_265,-0.235847107,0.07617556
qNSCII_263,-0.340110613,0.14153522
qNSCII_262,-0.098720619,0.014437071
qNSCII_259,-0.267112759,0.094561855
qNSCII_252,-0.140878051,0.029780472
qNSCII_251,-0.154677055,0.035536553
qNSCII_25,-0.21067234,0.062397394
qNSCII_244,-0.130653167,0.025749682
qNSCII_241,-0.220803607,0.067822726
qNSCII_237,-0.143323245,0.030774424
qNSCII_235,-0.167005364,0.04097406
qNSCII_231,-0.215934937,0.06519468
qNSCII_228,-0.254639845,0.087072057
qNSCII_227,-0.287718863,0.10733439
qNSCII_219,-0.1532974,0.034944458
qNSCII_218,-0.236012887,0.076269489
qNSCII_214,-0.225094695,0.070170247
qNSCII_213,-0.2466178,0.082361379
qNSCII_210,-0.294425922,0.111589918
qNSCII_21,-0.138411917,0.028789475
qNSCII_209,-0.364452939,0.15796967
qNSCII_208,-0.253502042,0.086397521
qNSCII_201,-0.301851346,0.116348592
qNSCII_200,-0.130074708,0.025527528
qNSCII_198,-0.195313049,0.054489617
qNSCII_197,-0.279357961,0.102101216
qNSCII_190,-0.177290386,0.045721965
qNSCII_188,-0.203005412,0.058401159
qNSCII_185,-0.204474375,0.059159504
qNSCII_184,-0.210500909,0.062307124
qNSCII_181,-0.174155655,0.044254795
qNSCII_180,-0.422571234,0.197771844
qNSCII_173,-0.171402465,0.042980906
qNSCII_17,-0.20894333,0.061486971
qNSCII_167,-0.15541981,0.035855314
qNSCII_161,-0.231143901,0.07352807
qNSCII_160,-0.146058479,0.031899363
qNSCII_16,-0.14511841,0.031511914
qNSCII_157,-0.186091068,0.049932598
qNSCII_151,-0.316766644,0.126050672
qNSCII_150,-0.125696477,0.023863156
qNSCII_15,-0.276239388,0.100160961
qNSCII_146,-0.194315572,0.05399015
qNSCII_141,-0.310907397,0.122217086
qNSCII_133,-0.204954322,0.059407274
qNSCII_127,-0.237233252,0.076961964
qNSCII_12,-0.291638311,0.109815418
qNSCII_118,-0.193835859,0.053750347
qNSCII_117,-0.238949187,0.077940487
qNSCII_116,-0.192792014,0.053229386
qNSCII_113,-0.360706177,0.15542583
qNSCII_112,-0.298909627,0.114456731
qNSCII_111,-0.22496543,0.070098829
qNSCII_108,-0.246465871,0.082272941
qNSCII_105,-0.160966709,0.038278172
qNSCII_100,-0.174145577,0.044250114
qNSCII_10,-0.218204133,0.066415122
pNSC_9,-0.124186565,0.023297735
pNSC_84,-0.138607305,0.02886778
pNSC_82,-0.261397668,0.091106198
pNSC_81,0.008963463,-0.008536907
pNSC_80,-0.197214016,0.055446978
pNSC_8,-0.113588414,0.019456641
pNSC_79,-0.112317622,0.019010051
pNSC_78,-0.041701714,-0.000795374
pNSC_76,-0.064792572,0.004585427
pNSC_75,-0.080865523,0.008969305
pNSC_74,-0.158244778,0.037080717
pNSC_73,-0.127290461,0.024463181
pNSC_72,-0.138696579,0.028903663
pNSC_71,-0.115308824,0.020066448
pNSC_70,-0.17125698,0.042914204
pNSC_69,-0.041289158,-0.000885833
pNSC_68,-0.207279288,0.060616684
pNSC_67,0.025246783,-0.009744006
pNSC_66,-0.153109438,0.034863792
pNSC_65,-0.108709179,0.017762084
pNSC_64,0.030499915,-0.009990348
pNSC_63,0.01886643,-0.009351519
pNSC_62,-0.125818902,0.02390924
pNSC_60,-0.095298732,0.013336769
pNSC_6,-0.148349994,0.032853869
pNSC_59,-0.356376176,0.152491908
pNSC_58,-0.135074869,0.027468169
pNSC_57,-0.202443023,0.058111414
pNSC_56,0.009621593,-0.008604777
pNSC_55,0.030202611,-0.009977208
pNSC_54,0.021769769,-0.009542915
