,V1,V2
qNSCI_9,-0.161960715,0.021228565
qNSCI_8,-0.228137657,0.072614432
qNSCI_7,-0.336631052,0.151700164
qNSCI_6,-0.151263572,0.01143186
qNSCI_5,-0.146054886,0.006350644
qNSCI_4,-0.169031918,0.027331017
qNSCI_35,-0.241420119,0.082227634
qNSCI_34,-0.16405117,0.023059828
qNSCI_33,-0.23442017,0.077168135
qNSCI_32,-0.275655776,0.106957299
qNSCI_31,-0.428575256,0.220864511
qNSCI_30,-0.210167818,0.05945975
qNSCI_3,-0.189459521,0.043814669
qNSCI_29,-0.357593864,0.167345194
qNSCI_28,-0.232055129,0.075455677
qNSCI_27,-0.21659247,0.064192165
qNSCI_26,-0.179645926,0.036071777
qNSCI_25,-0.142792919,0.00304131
qNSCI_24,-0.21682071,0.0643596
qNSCI_23,-0.295637373,0.121493072
qNSCI_22,-0.208633128,0.058322926
qNSCI_21,-0.284842314,0.113625707
qNSCI_20,-0.209534559,0.058991003
qNSCI_2,-0.329725617,0.146574547
qNSCI_19,-0.20055312,0.052286368
qNSCI_18,-0.221049438,0.067453925
qNSCI_17,-0.224606682,0.070047198
qNSCI_16,-0.254677337,0.091793293
qNSCI_15,-0.252311278,0.090086288
qNSCI_14,-0.283047636,0.112321129
qNSCI_13,-0.145894604,0.006190454
qNSCI_12,-0.150089984,0.0103069
qNSCI_11,-0.150114558,0.010330593
qNSCI_10,-0.261675597,0.096844546
qNSCI_1,-0.339252112,0.153649431
qNSCII_99,-0.177635033,0.034448608
qNSCII_98,-0.165771099,0.024548747
qNSCII_97,-0.12637709,-0.015573646
qNSCII_96,-0.237219808,0.079193107
qNSCII_95,-0.188582377,0.043133425
qNSCII_94,-0.128503457,-0.012938353
qNSCII_93,-0.175586966,0.032780692
qNSCII_92,-0.251534156,0.089525679
qNSCII_91,-0.114955368,-0.031411298
qNSCII_90,-0.150721785,0.010914027
qNSCII_9,-0.180049161,0.036395364
qNSCII_89,-0.150188814,0.010402188
qNSCII_88,-0.159085666,0.018669331
qNSCII_87,-0.219700429,0.06646821
qNSCII_86,-0.176683842,0.03367563
qNSCII_85,-0.110521904,-0.038560365
qNSCII_84,-0.156601367,0.016416341
qNSCII_83,-0.165080177,0.023952074
qNSCII_82,-0.141422669,0.001619648
qNSCII_81,-0.130567216,-0.010450292
qNSCII_80,-0.13208287,-0.008667206
qNSCII_8,-0.139592277,-0.000311451
qNSCII_79,-0.153259271,0.013319843
qNSCII_78,-0.132452189,-0.008238159
qNSCII_77,-0.209575969,0.059021672
qNSCII_76,-0.114945935,-0.03142577
qNSCII_75,-0.129460374,-0.011775082
qNSCII_74,-0.125953736,-0.016111163
qNSCII_73,-0.209000612,0.058595385
qNSCII_72,-0.146835178,0.007126808
qNSCII_71,-0.272298582,0.104524981
qNSCII_70,-0.137462327,-0.002607402
qNSCII_7,-0.367419246,0.174713019
qNSCII_69,-0.132718445,-0.007930106
qNSCII_68,-0.340267577,0.154405555
qNSCII_67,-0.253317146,0.09081194
qNSCII_66,-0.143878702,0.004155124
qNSCII_65,-0.121207256,-0.022356899
qNSCII_64,-0.149907366,0.010130826
qNSCII_63,-0.147580472,0.007863274
qNSCII_62,-0.153004634,0.013080819
qNSCII_61,-0.112254882,-0.035682375
qNSCII_60,-0.140463037,0.000611681
qNSCII_6,-0.118599661,-0.02600705
qNSCII_59,-0.168171258,0.026601564
qNSCII_58,-0.16532919,0.024167399
qNSCII_57,-0.160783155,0.020186261
qNSCII_56,-0.137906865,-0.002123532
qNSCII_55,-0.136511008,-0.003651145
qNSCII_54,-0.164371975,0.023338648
qNSCII_53,-0.157519818,0.017253623
qNSCII_52,-0.123702392,-0.019013461
qNSCII_51,-0.112262689,-0.035669685
qNSCII_50,-0.318418562,0.138213261
qNSCII_5,-0.319368857,0.138914245
qNSCII_49,-0.113990057,-0.032911563
qNSCII_48,-0.183604273,0.0392282
qNSCII_47,-0.274969304,0.106459468
qNSCII_46,-0.341326961,0.155195296
qNSCII_45,-0.156879068,0.016670367
qNSCII_44,-0.166131541,0.024858668
qNSCII_43,-0.114713702,-0.031786532
qNSCII_42,-0.246166259,0.085653207
qNSCII_415,-0.136580495,-0.003574613
qNSCII_414,-0.217545419,0.06489088
qNSCII_413,-0.232742041,0.075953247
qNSCII_412,-0.142532856,0.002773384
qNSCII_411,-0.210339466,0.059586763
qNSCII_410,-0.29196333,0.118811677
qNSCII_41,-0.230747817,0.074508174
qNSCII_409,-0.219267748,0.066151866
qNSCII_408,-0.276238755,0.107380077
qNSCII_407,-0.151722079,0.011868365
qNSCII_406,-0.174065965,0.031531337
qNSCII_405,-0.152569536,0.012670896
qNSCII_404,-0.206745003,0.056920352
qNSCII_403,-0.190990706,0.044999664
qNSCII_402,-0.235049732,0.077623652
qNSCII_401,-0.151211614,0.01138233
qNSCII_400,-0.262426899,0.097387177
qNSCII_40,-0.257502944,0.093832272
qNSCII_4,-0.114657036,-0.031874629
qNSCII_399,-0.397543829,0.197401851
qNSCII_398,-0.25917532,0.095039344
qNSCII_397,-0.350051153,0.161702887
qNSCII_396,-0.321002609,0.140121225
qNSCII_395,-0.245962155,0.085505954
qNSCII_394,-0.198732335,0.050912366
qNSCII_393,-0.109005037,-0.041178151
qNSCII_392,-0.180597677,0.036835172
qNSCII_391,-0.126379449,-0.015570651
qNSCII_390,-0.21810468,0.065300555
qNSCII_39,-0.231130324,0.074785468
qNSCII_389,-0.207009343,0.057116972
qNSCII_388,-0.380666503,0.184674838
qNSCII_387,-0.138817612,-0.001140737
qNSCII_386,-0.194293219,0.047537063
qNSCII_385,-0.305853884,0.128972066
qNSCII_384,-0.222693598,0.06865367
qNSCII_383,-0.12074732,-0.022990707
qNSCII_382,-0.26335447,0.098057121
qNSCII_381,-0.147297359,0.007584168
qNSCII_380,-0.161006858,0.020385046
qNSCII_38,-0.301686424,0.125917249
qNSCII_379,-0.269462192,0.10247238
qNSCII_378,-0.422040494,0.215919436
qNSCII_377,-0.276827594,0.107807105
qNSCII_376,-0.193187394,0.046689993
qNSCII_375,-0.134231119,-0.00619967
qNSCII_374,-0.191262209,0.045209145
qNSCII_373,-0.418435168,0.21319203
qNSCII_372,-0.209611012,0.059047625
