Cell ID,Axis1,Axis2,Cluster,t11V1,t11V2,t13V1,t13V2
pNSC_51,0.0286194,-0.107411,pNSC,0.0322071,-0.0100558,,
aNSC_63,0.0316042,-0.0166795,aNSC,0.0318549,-0.0100425,,
pNSC_64,0.0260851,-0.109877,pNSC,0.0304999,-0.00999035,,
pNSC_55,0.0250461,-0.126644,pNSC,0.0302026,-0.00997721,,
pNSC_67,0.019396,-0.116523,pNSC,0.0252468,-0.00974401,,
aNSC_14,0.0234158,-0.033927,aNSC,0.024756,-0.00971684,,
pNSC_47,0.0166474,-0.120409,pNSC,0.0232212,-0.00963029,,
aNSC_13,0.0204033,-0.0527076,aNSC,0.0229605,-0.00961483,,
NB_1,0.0202268,-0.0222779,NB,0.0210484,-0.00949696,,
aNSC_18,0.0167166,-0.0529418,aNSC,0.0196318,-0.00940433,,
aNSC_16,0.0221531,0.0392171,aNSC,0.0187613,-0.00934418,,
pNSC_56,0.000857256,-0.103764,pNSC,0.00962159,-0.00860478,,
pNSC_81,0.00395469,-0.0566617,pNSC,0.00896346,-0.00853691,,
aNSC_3,0.000298401,0.00309373,aNSC,-0.00110601,-0.00746021,,
aNSC_69,-0.0118379,0.0229163,aNSC,-0.0161669,-0.00543133,,
aNSC_84,-0.0165216,0.0290985,aNSC,-0.0220957,-0.00448555,,
aNSC_80,-0.0221948,0.00353059,aNSC,-0.0235485,-0.00423682,,
pNSC_4,-0.0320093,-0.00826335,pNSC,-0.0310161,-0.00291108,,
pNSC_69,-0.0406795,0.00189457,pNSC,-0.0412892,-0.000885833,,
pNSC_78,-0.036947,0.0208893,pNSC,-0.0417017,-0.000795374,,
aNSC_79,-0.0371136,0.0261367,aNSC,-0.0429584,-0.000519822,,
aNSC_76,-0.0589155,0.0262033,aNSC,-0.0644413,0.00449526,,
pNSC_1,-0.0663759,-0.00215275,pNSC,-0.0646496,0.00454859,,
aNSC_54,-0.0584002,0.0362786,aNSC,-0.0665383,0.00503646,,
pNSC_12,-0.0568721,0.0467392,pNSC,-0.0679049,0.00539874,,
aNSC_33,-0.0245673,0.168933,aNSC,-0.0681905,0.00547494,,
aNSC_94,-0.0608119,0.0340637,aNSC,-0.0684249,0.00553751,,
aNSC_12,-0.0526075,0.0668763,aNSC,-0.0689406,0.00567515,,
pNSC_38,-0.066172,0.0389297,pNSC,-0.0749288,0.00729384,,
pNSC_75,-0.0831575,0.000985559,pNSC,-0.0808655,0.00896931,,
aNSC_88,-0.0567832,0.107967,aNSC,-0.0857244,0.0103945,,
pNSC_60,-0.110394,-0.0345397,pNSC,-0.0952987,0.0133368,,
pNSC_50,-0.0925537,0.0295025,pNSC,-0.097549,0.0140581,,
pNSC_65,-0.10836,0.0187864,pNSC,-0.108709,0.0177621,,
aNSC_78,-0.0825329,0.103244,aNSC,-0.111955,0.0188836,,
pNSC_8,-0.113197,0.020568,pNSC,-0.113588,0.0194566,,
aNSC_5,-0.107611,0.0396711,aNSC,-0.114641,0.0198282,,
pNSC_71,-0.12767,-0.0144597,pNSC,-0.115309,0.0200664,,
pNSC_9,-0.119017,0.0371721,pNSC,-0.124187,0.0232977,,
pNSC_73,-0.117417,0.0506922,pNSC,-0.12729,0.0244632,,
aNSC_53,-0.123303,0.0424859,aNSC,-0.129849,0.0254409,,
aNSC_4,-0.113995,0.089533,aNSC,-0.138182,0.0286982,,
pNSC_84,-0.130574,0.048855,pNSC,-0.138607,0.0288678,,
pNSC_72,-0.140426,0.0246,pNSC,-0.138697,0.0289037,,
pNSC_6,-0.139932,0.0529096,pNSC,-0.14835,0.0328539,,
pNSC_66,-0.151672,0.038214,pNSC,-0.153109,0.0348638,,
pNSC_74,-0.139575,0.0799183,pNSC,-0.158245,0.0370807,,
pNSC_35,-0.152936,0.052996,pNSC,-0.159681,0.0377108,,
pNSC_70,-0.158346,0.0710755,pNSC,-0.171257,0.0429142,,
pNSC_27,-0.156768,0.0746888,pNSC,-0.171322,0.0429442,,
pNSC_26,-0.171693,0.0514173,pNSC,-0.174877,0.0445901,,
pNSC_44,-0.179472,0.0585486,pNSC,-0.184108,0.0489721,,
pNSC_21,-0.170361,0.0805588,pNSC,-0.185356,0.0495764,,
pNSC_25,-0.181477,0.0587305,pNSC,-0.185803,0.0497927,,
aNSC_95,-0.162646,0.120218,aNSC,-0.195576,0.0546215,,
pNSC_80,-0.188441,0.0728519,pNSC,-0.197214,0.055447,,
pNSC_57,-0.194988,0.0726168,pNSC,-0.202443,0.0581114,,
pNSC_31,-0.197557,0.0791277,pNSC,-0.207236,0.0605943,,
pNSC_68,-0.199193,0.0761002,pNSC,-0.207279,0.0606167,,
pNSC_41,-0.186417,0.108464,pNSC,-0.210674,0.0623982,,
