"","V1","V2"
"OPC_9",-0.023568538795956,-0.221554583664184
"OPC_8",0.00985647396624624,-0.138273732443026
"OPC_7",-0.0661127967483534,-0.234518021413671
"OPC_6",-0.0500502657246317,-0.235694683917508
"OPC_5",0.119420967316772,-0.0746386226389826
"OPC_4",-0.0290838968175509,-0.22226145337843
"OPC_3",-0.0607958000729125,-0.310767646898521
"OPC_2",-0.0364487988872147,-0.254200653473889
"OPC_11",-0.0948697101969665,-0.240078237571206
"OPC_10",-0.0272807403128653,-0.192688190499504
"OPC_1",-0.0303459080903162,-0.238383476707281
"OLqNSCI_6",-0.083870664247581,-0.353097165620868
"OLqNSCI_5",-0.0748127581886495,-0.345239394172789
"OLqNSCI_4",-0.0983673509543446,-0.373281517409573
"OLqNSCI_3",-0.0883834411829379,-0.348502042935923
"OLqNSCI_2",-0.0813699518417045,-0.340557597786448
"OLqNSCI_1",-0.0831341577178877,-0.345971802638993
"OLqNSCII_9",-0.0911319501832378,-0.359835092215088
"OLqNSCII_8",-0.083022114436625,-0.357888904779122
"OLqNSCII_7",-0.0573440929802265,-0.296136771860386
"OLqNSCII_6",-0.131503748298832,-0.426630599466349
"OLqNSCII_5",-0.080242246979205,-0.382750044898807
"OLqNSCII_4",-0.0833215638880482,-0.370669473053245
"OLqNSCII_3",-0.0636532003719794,-0.327125841422025
"OLqNSCII_2",-0.0626072630695846,-0.317426778823599
"OLqNSCII_12",-0.145198314480415,-0.330756162205035
"OLqNSCII_11",-0.145023533055619,-0.361150836252642
"OLqNSCII_10",-0.0821409426912843,-0.358795036575853
"OLqNSCII_1",-0.0484076214203239,-0.286550699137181
"OLpNSC_4",-0.0421471120185827,-0.285949185912177
"OLpNSC_3",0.130303784162064,-0.143141212657718
"OLpNSC_2",-0.0502428972291678,-0.297210175969497
"OLpNSC_1",-0.0389634610432723,-0.313651871099598
"OLaNSC_9",0.0777577425419863,-0.136818759021818
"OLaNSC_8",0.103455880689033,-0.0971804175284637
