,V1,V2
OLpNSC_3,0.094235242,-0.107224567
OLpNSC_1,-0.066462027,-0.290981416
OLaNSC_9,0.071384469,-0.130816389
OLaNSC_8,0.103885797,-0.097616964
OLaNSC_7,-0.007301122,-0.219770538
OLaNSC_6,0.035223341,-0.170427364
OLaNSC_5,-0.068028708,-0.292881751
OLaNSC_4,0.051800949,-0.151940927
OLaNSC_3,0.073949935,-0.128109746
OLaNSC_2,0.065225004,-0.137372626
OLaNSC_13,0.039256136,-0.165883752
OLaNSC_12,0.048260101,-0.15584673
OLaNSC_11,0.009690357,-0.199779598
OLaNSC_10,0.067464192,-0.134979601
OLaNSC_1,-0.008622702,-0.221343316
OLTAP_9,0.099751424,-0.101707186
OLTAP_8,0.316984819,0.119186725
OLTAP_7,0.210391401,0.001471055
OLTAP_6,0.332203708,0.141104283
OLTAP_5,0.178191848,-0.028460828
OLTAP_4,0.225191192,0.015556089
OLTAP_3,0.159987012,-0.045113352
OLTAP_2,0.166175028,-0.039470772
OLTAP_11,0.179904442,-0.026885179
OLTAP_10,0.211490582,0.00250725
OLTAP_1,0.062320054,-0.140494046
NB_99,0.21925481,0.009869218
NB_98,0.22306754,0.013515
NB_97,0.355270177,0.176889176
NB_96,0.252613805,0.042772826
NB_95,0.279190416,0.071601481
NB_94,0.339803379,0.152561937
NB_93,0.257701099,0.048051883
NB_92,0.272251465,0.063751623
NB_91,0.260351048,0.050840208
NB_90,0.42208478,0.292060416
NB_9,0.130893877,-0.071793817
NB_89,0.274793065,0.066598366
NB_88,0.298315583,0.094547525
NB_87,0.172227988,-0.033934724
NB_86,0.276675868,0.068728419
NB_85,0.206533597,-0.002156046
NB_84,0.221545238,0.012056435
NB_83,0.195089125,-0.012840822
NB_82,0.201798558,-0.006588974
NB_81,0.272942741,0.064522583
NB_80,0.296187585,0.091891089
NB_8,0.155160058,-0.049510178
NB_79,0.109595911,-0.09203191
NB_78,0.253163113,0.043338234
NB_77,0.189666132,-0.017871569
NB_76,0.165278442,-0.040289232
NB_75,0.361558861,0.187170456
NB_74,0.164367117,-0.041120759
NB_73,0.221168897,0.011696546
NB_72,0.263501502,0.054193873
NB_71,0.17392373,-0.032380337
NB_70,0.352088229,0.171767016
NB_7,0.243493804,0.033517641
NB_69,0.440118854,0.325245449
NB_68,0.246404362,0.036444942
NB_67,0.279495768,0.071952314
NB_66,0.250828472,0.040941719
NB_65,0.347251518,0.164100604
NB_64,0.231915137,0.022072991
NB_63,0.115073941,-0.086741119
NB_62,0.202878785,-0.005579451
NB_61,0.202688008,-0.005757818
NB_60,0.177074048,-0.029488307
NB_6,0.290358771,0.084754738
NB_59,0.352982747,0.173200943
NB_58,0.329653754,0.137331416
NB_57,0.116664041,-0.085217257
NB_56,0.180114536,-0.026691779
NB_55,0.416342663,0.281687492
NB_54,0.276467667,0.06849199
NB_53,0.319952419,0.123339788
NB_52,0.309940635,0.10959079
NB_51,0.108796694,-0.092809242
NB_50,0.234084858,0.024194602
NB_5,0.332550103,0.141619754
NB_49,0.344567004,0.159904484
NB_48,0.206798332,-0.001907724
NB_47,0.367100064,0.196378799
NB_46,0.180454263,-0.026378969
NB_45,0.225979546,0.016315666
NB_44,0.351228551,0.170393906
NB_43,0.288155653,0.082107657
NB_42,0.276226307,0.068218309
NB_41,0.227850953,0.018123653
NB_40,0.089416683,-0.112102058
NB_4,0.38836435,0.232511068
NB_39,0.212981474,0.003915029
NB_38,0.16719398,-0.038540138
NB_37,0.155862909,-0.048869904
NB_36,0.189737383,-0.017805671
NB_35,0.306446607,0.104969919
NB_34,0.127746937,-0.074731823
NB_33,0.329578144,0.137219568
NB_32,0.31033118,0.110113384
NB_31,0.304509112,0.102445176
NB_30,0.346063203,0.162237362
NB_3,0.096356347,-0.10509449
NB_29,0.451492852,0.34640633
NB_28,0.342867956,0.15727087
NB_27,0.288796059,0.082874251
NB_26,0.270811888,0.062154298
NB_25,0.337870556,0.149618038
NB_24,0.401911915,0.256062531
NB_23,0.333167804,0.14254079
NB_22,0.181186804,-0.02570423
NB_21,0.192690092,-0.015068607
NB_20,0.165004075,-0.040539615
NB_2,0.051162442,-0.152643496
NB_19,0.110077975,-0.09156372
NB_18,0.18264834,-0.024357075
NB_17,0.103592314,-0.097906084
NB_16,0.136389338,-0.066698233
NB_15,0.310312575,0.11008802
NB_14,0.274269413,0.066009239
NB_13,0.327325705,0.133918885
NB_12,0.335002782,0.145288333
NB_11,0.243693737,0.033716968
NB_102,0.108237083,-0.093354381
NB_101,0.375467363,0.210477191
NB_100,0.177705706,-0.028907783
NB_10,0.107020243,-0.094542169
NB_1,0.029962495,-0.176397569
