"","V1","V2"
"OPC_9",-0.0322632516200274,-0.216172327210169
"OPC_8",0.015199539634348,-0.144537640994558
"OPC_7",-0.0513103697704613,-0.244179959024353
"OPC_6",-0.0471101128729359,-0.237760882449113
"OPC_5",0.120198469390311,-0.0764679381485724
"OPC_4",-0.0340991216868049,-0.219010926332087
"OPC_3",-0.0699780348867504,-0.30815128287986
"OPC_2",-0.05178028344653,-0.244943227547196
"OPC_11",-0.0571843537178531,-0.255215535100062
"OPC_10",-0.0206872314408457,-0.196484860156956
"OPC_1",-0.0419375591432532,-0.230396393512852
"OLqNSCI_6",-0.0876717216166968,-0.35104432977332
"OLqNSCI_5",-0.0826900154051305,-0.341344519542578
"OLqNSCI_4",-0.0998501028209863,-0.372390119944987
"OLqNSCI_3",-0.0867689397822768,-0.349356488915007
"OLqNSCI_2",-0.082125078889935,-0.340194774567333
"OLqNSCI_1",-0.084618436030801,-0.345207004483315
"OLqNSCII_9",-0.0921935762325965,-0.359234828812778
"OLqNSCII_8",-0.0894488780624615,-0.3543142710994
"OLqNSCII_7",-0.0667899319701938,-0.294131339119172
"OLqNSCII_6",-0.132238258734312,-0.426188240167496
"OLqNSCII_5",-0.0992859310976114,-0.371449622943237
"OLqNSCII_4",-0.0948766609854604,-0.363916685753154
"OLqNSCII_3",-0.0745977758638639,-0.322502024320633
"OLqNSCII_2",-0.0717854838010225,-0.314345544673987
"OLqNSCII_12",-0.0929710437952772,-0.360600518330984
"OLqNSCII_11",-0.106897850261634,-0.384112048911272
"OLqNSCII_10",-0.0896255979951178,-0.354631992392521
"OLqNSCII_1",-0.064776990439152,-0.283490115560201
"OLpNSC_4",-0.0644376890805072,-0.281696031640304
"OLpNSC_3",0.0986807588941205,-0.0890470157991444
"OLpNSC_2",-0.066701715293662,-0.293715827541235
"OLpNSC_1",-0.0693751123399348,-0.305885527310513
"OLaNSC_7",-0.0287106443923665,-0.21041876783204
"OLaNSC_5",-0.0689051066376415,-0.303984857867203
"OLaNSC_1",-0.0289512575072096,-0.210819462463599
