Pathways,Cluster,Cluster_Sec,Cluster_Ter,Lineage,Stage,Fold_Enrichment,pvalue,FDR
Cell cycle ,aNSC,0,0,Neuro,7,6.03,0.0492,0.733
De novo purine biosynthesis ,aNSC,0,0,Neuro,7,12.26,2.09E-05,0.00114
De novo pyrimidine deoxyribonucleotide biosynthesis ,aNSC,0,0,Neuro,7,27.15,4.36E-07,7.14E-05
De novo pyrimidine ribonucleotides biosythesis ,aNSC,0,0,Neuro,7,27.15,4.36E-07,7.14E-05
DNA replication ,aNSC,0,0,Neuro,7,14.08,1.05E-05,0.000861
FAS signaling   ,aNSC,0,0,Neuro,7,7.68,0.00253,0.0829
p53   ,aNSC,0,0,Neuro,7,4.52,0.00281,0.0769
Ubiquitin proteasome   ,aNSC,0,0,Neuro,7,3.84,0.0236,0.43
5HT2 type receptor mediated signaling   ,NB,0,0,Neuro,11,4.48,0.0143,0.106
Axon guidance mediated by semaphorins ,NB,0,0,Neuro,11,13.06,0.000405,0.0221
CCKR signaling map ,NB,0,0,Neuro,11,2.85,0.0216,0.147
Cell cycle ,NB,0,0,Neuro,11,7.15,0.0363,0.199
Cytoskeletal regulation by Rho GTPase ,NB,0,0,Neuro,11,10.32,3.14E-08,5.14E-06
G-protein (Gi alpha and Gs alpha) signaling,NB,0,0,Neuro,11,2.82,0.0227,0.143
G-protein (rod/phototransduction) signaling  ,NB,0,0,Neuro,11,10.14,0.000217,0.0178
Histamine H1 receptor mediated signaling   ,NB,0,0,Neuro,11,5.12,0.0238,0.145
Ubiquitin proteasome   ,NB,0,0,Neuro,11,5.69,0.00243,0.0285
5-Hydroxytryptamine degredation ,pNSC,0,0,Neuro,5,21.44,0.0478,1.96
CCKR signaling map ,pNSC,0,0,Neuro,5,8.14,0.00626,1.03
Fructose galactose metabolism ,pNSC,0,0,Neuro,5,32.98,0.0321,2.63
Vasopressin synthesis ,pNSC,0,0,Neuro,5,32.98,0.0321,1.75
Alpha adrenergic receptor signaling   ,qNSCI,0,0,Neuro,1,10.5,0.0177,0.363
Angiotensin II signaling via G proteins + beta-arrestin ,qNSCI,0,0,Neuro,1,13.26,0.00033,0.054
Endothelin signaling   ,qNSCI,0,0,Neuro,1,6.14,0.00478,0.261
Fructose galactose metabolism ,qNSCI,0,0,Neuro,1,10.18,0.0204,0.558
Glutamine glutamate conversion ,qNSCI,0,0,Neuro,1,41.99,0.0311,0.567
G-protein (Gi alpha and Gs alpha) signaling,qNSCI,0,0,Neuro,1,3.94,0.00999,0.234
G-protein (Gq alpha and Go alpha) signaling   ,qNSCI,0,0,Neuro,1,5.16,0.00336,0.276
Histamine H1 receptor mediated signaling   ,qNSCI,0,0,Neuro,1,8.59,0.00604,0.248
Vasopressin synthesis ,qNSCI,0,0,Neuro,1,19.38,0.00605,0.199
Glutamine glutamate conversion ,qNSCII,0,0,Neuro,3,44.11,0.00215,0.117
Glycolysis ,qNSCII,0,0,Neuro,3,7.94,0.00814,0.334
G-protein (Gi alpha and Gs alpha) signaling,qNSCII,0,0,Neuro,3,2.48,0.0383,0.572
