Pathways,Cluster,Cluster_Sec,Cluster_Ter,Lineage,Stage,Fold_Enrichment,pvalue,FDR
Cell cycle ,,,,,,,,
De novo purine biosynthesis ,,,,,,,,
De novo pyrimidine deoxyribonucleotide biosynthesis ,,,,,,,,
De novo pyrimidine ribonucleotides biosythesis ,,,,,,,,
DNA replication ,,,,,,,,
FAS signaling   ,,,,,,,,
p53   ,,,,,,,,
Ubiquitin proteasome   ,,,,,,,,
5HT2 type receptor mediated signaling   ,,,,,,,,
Axon guidance mediated by semaphorins ,,,,,,,,
CCKR signaling map ,,,,,,,,
Cell cycle ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
G-protein (Gi alpha and Gs alpha) signaling,,,,,,,,
G-protein (rod/phototransduction) signaling  ,,,,,,,,
Histamine H1 receptor mediated signaling   ,,,,,,,,
Ubiquitin proteasome   ,,,,,,,,
5-Hydroxytryptamine degredation ,,,,,,,,
CCKR signaling map ,,,,,,,,
Fructose galactose metabolism ,,,,,,,,
Vasopressin synthesis ,,,,,,,,
Alpha adrenergic receptor signaling   ,,,,,,,,
Angiotensin II signaling via G proteins + beta-arrestin ,,,,,,,,
Endothelin signaling   ,,,,,,,,
Fructose galactose metabolism ,,,,,,,,
Glutamine glutamate conversion ,,,,,,,,
G-protein (Gi alpha and Gs alpha) signaling,,,,,,,,
G-protein (Gq alpha and Go alpha) signaling   ,,,,,,,,
Histamine H1 receptor mediated signaling   ,,,,,,,,
Vasopressin synthesis ,,,,,,,,
Glutamine glutamate conversion ,,,,,,,,
Glycolysis ,,,,,,,,
G-protein (Gi alpha and Gs alpha) signaling,,,,,,,,
G-protein (Gq alpha and Go alpha) signaling   ,,,,,,,,
Ionotropic glutamate receptor   ,,,,,,,,
Metabotropic glutamate receptor group III   ,,,,,,,,
Vasopressin synthesis ,,,,,,,,
Axon guidance mediated by semaphorins ,,,,,,,,
CCKR signaling map ,,,,,,,,
Cell cycle ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
De novo pyrimidine deoxyribonucleotide biosynthesis ,,,,,,,,
De novo pyrimidine ribonucleotides biosythesis ,,,,,,,,
DNA replication ,,,,,,,,
FAS signaling   ,,,,,,,,
FGF signaling   ,,,,,,,,
G-protein (rod/phototransduction) signaling  ,,,,,,,,
p53   ,,,,,,,,
Ubiquitin proteasome   ,,,,,,,,
5HT2 type receptor mediated signaling   ,MOL,0,0,OL,13,3.39,0.0196,0.2
Angiogenesis ,MOL,0,0,OL,13,3.22,0.000583,0.0478
