




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	OLqNSCI (Mus musculus )OLqNSCII (Mus musculus )OLpNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	OLqNSCI (348)	OLqNSCI (expected)	OLqNSCI (over/under)	OLqNSCI (fold Enrichment)	OLqNSCI (raw P-value)	OLqNSCI (FDR)	OLqNSCII (188)	OLqNSCII (expected)	OLqNSCII (over/under)	OLqNSCII (fold Enrichment)	OLqNSCII (raw P-value)	OLqNSCII (FDR)	OLpNSC (526)	OLpNSC (expected)	OLpNSC (over/under)	OLpNSC (fold Enrichment)	OLpNSC (raw P-value)	OLpNSC (FDR)
Unclassified (UNCLASSIFIED)	12473	174	194.68	-	.89	2.94E-02	5.28E-01	99	105.17	-	.94	3.77E-01	2.41E00	272	294.26	-	.92	5.61E-02	8.38E-01
cell (GO:0005623)	5798	120	90.50	+	1.33	5.52E-04	4.12E-02	57	48.89	+	1.17	1.82E-01	2.33E00	163	136.78	+	1.19	1.20E-02	5.95E-01
cell part (GO:0044464)	5772	118	90.09	+	1.31	1.06E-03	5.96E-02	55	48.67	+	1.13	3.16E-01	2.40E00	163	136.17	+	1.20	1.02E-02	6.56E-01
intracellular (GO:0005622)	4417	79	68.94	+	1.15	1.76E-01	1.14E00	39	37.24	+	1.05	7.14E-01	3.17E00	136	104.20	+	1.31	9.03E-04	1.35E-01
intracellular part (GO:0044424)	3793	68	59.20	+	1.15	2.22E-01	1.23E00	33	31.98	+	1.03	8.45E-01	3.38E00	124	89.48	+	1.39	1.39E-04	6.22E-02
cytoplasm (GO:0005737)	3588	66	56.00	+	1.18	1.62E-01	1.12E00	33	30.25	+	1.09	5.51E-01	2.84E00	118	84.65	+	1.39	1.98E-04	4.43E-02
cell periphery (GO:0071944)	2183	65	34.07	+	1.91	7.30E-07	3.27E-04	29	18.41	+	1.58	1.36E-02	1.22E00	69	51.50	+	1.34	1.44E-02	5.88E-01
plasma membrane (GO:0005886)	2148	62	33.53	+	1.85	2.76E-06	6.18E-04	28	18.11	+	1.55	2.46E-02	1.84E00	69	50.67	+	1.36	1.11E-02	6.20E-01
organelle (GO:0043226)	3882	45	60.59	-	.74	2.70E-02	5.25E-01	26	32.73	-	.79	2.10E-01	2.30E00	113	91.58	+	1.23	1.72E-02	6.44E-01
cytoplasmic part (GO:0044444)	2177	43	33.98	+	1.27	1.22E-01	9.90E-01	19	18.36	+	1.04	8.06E-01	3.31E00	68	51.36	+	1.32	2.13E-02	5.62E-01
