




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	MOL (Mus musculus )OPC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	MOL (491)	MOL (expected)	MOL (over/under)	MOL (fold Enrichment)	MOL (raw P-value)	MOL (FDR)	OPC (556)	OPC (expected)	OPC (over/under)	OPC (fold Enrichment)	OPC (raw P-value)	OPC (FDR)
Unclassified (UNCLASSIFIED)	12473	225	274.68	-	.82	9.79E-06	4.87E-04	260	311.04	-	.84	1.82E-05	5.44E-04
cell (GO:0005623)	5798	194	127.68	+	1.52	1.30E-10	2.92E-08	196	144.59	+	1.36	2.03E-06	1.14E-04
cell part (GO:0044464)	5772	193	127.11	+	1.52	1.29E-10	5.78E-08	196	143.94	+	1.36	1.53E-06	1.14E-04
intracellular (GO:0005622)	4417	150	97.27	+	1.54	2.57E-08	2.30E-06	150	110.15	+	1.36	5.42E-05	1.28E-03
intracellular part (GO:0044424)	3793	133	83.53	+	1.59	4.23E-08	3.16E-06	131	94.59	+	1.38	1.03E-04	2.20E-03
cytoplasm (GO:0005737)	3588	125	79.01	+	1.58	1.71E-07	1.10E-05	126	89.47	+	1.41	7.15E-05	1.60E-03
cell periphery (GO:0071944)	2183	95	48.07	+	1.98	2.46E-10	3.68E-08	96	54.44	+	1.76	8.51E-08	1.91E-05
plasma membrane (GO:0005886)	2148	93	47.30	+	1.97	5.13E-10	5.74E-08	96	53.57	+	1.79	4.42E-08	1.98E-05
organelle (GO:0043226)	3882	93	85.49	+	1.09	3.68E-01	1.15E00	91	96.81	-	.94	5.71E-01	1.50E00
cytoplasmic part (GO:0044444)	2177	75	47.94	+	1.56	1.63E-04	5.22E-03	85	54.29	+	1.57	5.14E-05	1.28E-03
vacuole (GO:0005773)	1062	50	23.39	+	2.14	1.13E-06	6.34E-05	54	26.48	+	2.04	1.89E-06	1.21E-04
intracellular non-membrane-bounded organelle (GO:0043232)	1125	37	24.77	+	1.49	1.68E-02	2.22E-01	27	28.05	-	.96	9.22E-01	2.07E00
non-membrane-bounded organelle (GO:0043228)	1125	37	24.77	+	1.49	1.68E-02	2.15E-01	27	28.05	-	.96	9.22E-01	2.05E00
