




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	NB (Mus musculus )TAP (Mus musculus )aNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	NB (297)	NB (expected)	NB (over/under)	NB (fold Enrichment)	NB (raw P-value)	NB (FDR)	TAP (667)	TAP (expected)	TAP (over/under)	TAP (fold Enrichment)	TAP (raw P-value)	TAP (FDR)	aNSC (352)	aNSC (expected)	aNSC (over/under)	aNSC (fold Enrichment)	aNSC (raw P-value)	aNSC (FDR)
cell part (GO:0044464)	5772	136	76.89	+	1.77	2.66E-13	1.19E-11	243	172.67	+	1.41	4.02E-09	5.81E-08	149	91.13	+	1.64	3.57E-11	8.88E-10
cell (GO:0005623)	5798	136	77.23	+	1.76	3.20E-13	1.30E-11	243	173.45	+	1.40	5.61E-09	7.86E-08	149	91.54	+	1.63	5.73E-11	1.28E-09
intracellular (GO:0005622)	4417	130	58.84	+	2.21	1.52E-20	8.52E-19	238	132.14	+	1.80	6.80E-21	2.54E-19	146	69.73	+	2.09	4.36E-20	1.95E-18
intracellular part (GO:0044424)	3793	126	50.53	+	2.49	2.41E-24	1.54E-22	231	113.47	+	2.04	4.07E-27	2.03E-25	146	59.88	+	2.44	1.09E-26	9.78E-25
cytoplasm (GO:0005737)	3588	124	47.79	+	2.59	2.01E-25	1.50E-23	213	107.34	+	1.98	3.24E-23	1.32E-21	137	56.65	+	2.42	2.78E-24	1.78E-22
Unclassified (UNCLASSIFIED)	12473	112	166.15	-	.67	4.45E-10	1.66E-08	257	373.14	-	.69	8.12E-19	2.80E-17	119	196.92	-	.60	1.73E-16	5.53E-15
organelle (GO:0043226)	3882	80	51.71	+	1.55	5.74E-05	1.03E-03	235	116.13	+	2.02	3.51E-27	1.97E-25	122	61.29	+	1.99	1.37E-14	4.09E-13
cytoplasmic part (GO:0044444)	2177	78	29.00	+	2.69	6.74E-16	3.36E-14	131	65.13	+	2.01	5.66E-14	1.33E-12	103	34.37	+	3.00	3.50E-24	1.96E-22
cytosol (GO:0005829)	755	69	10.06	+	6.86	7.31E-36	8.19E-34	103	22.59	+	4.56	2.14E-35	3.19E-33	87	11.92	+	7.30	9.37E-47	1.40E-44
cytosolic part (GO:0044445)	164	57	2.18	+	26.09	1.35E-57	3.02E-55	73	4.91	+	14.88	3.41E-54	1.53E-51	69	2.59	+	26.65	3.19E-69	1.43E-66
