




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	qNSCI (Mus musculus )qNSCII (Mus musculus )pNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	qNSCI (177)	qNSCI (expected)	qNSCI (over/under)	qNSCI (fold Enrichment)	qNSCI (raw P-value)	qNSCI (FDR)	qNSCII (337)	qNSCII (expected)	qNSCII (over/under)	qNSCII (fold Enrichment)	qNSCII (raw P-value)	qNSCII (FDR)	pNSC (52)	pNSC (expected)	pNSC (over/under)	pNSC (fold Enrichment)	pNSC (raw P-value)	pNSC (FDR)
extracellular matrix (GO:0031012)	152	7	1.21	+	5.80	2.73E-04	6.11E-02	9	2.30	+	3.92	7.13E-04	6.39E-02	1	.35	+	2.82	3.01E-01	5.39E00
integral component of plasma membrane (GO:0005887)	848	16	6.73	+	2.38	1.37E-03	8.77E-02	32	12.82	+	2.50	4.80E-06	2.15E-03	4	1.98	+	2.02	1.36E-01	3.38E00
neuron projection (GO:0043005)	193	8	1.53	+	5.22	2.00E-04	8.95E-02	10	2.92	+	3.43	9.75E-04	6.24E-02	1	.45	+	2.22	3.65E-01	5.64E00
intrinsic component of membrane (GO:0031224)	1091	19	8.66	+	2.19	1.36E-03	1.02E-01	37	16.49	+	2.24	6.64E-06	1.49E-03	4	2.54	+	1.57	3.23E-01	5.36E00
integral component of membrane (GO:0016021)	1079	19	8.57	+	2.22	1.23E-03	1.10E-01	36	16.31	+	2.21	1.78E-05	2.66E-03	4	2.52	+	1.59	3.19E-01	5.50E00
peptidase complex (GO:1905368)	7	2	.06	+	35.99	2.14E-03	1.20E-01	1	.11	+	9.45	1.13E-01	1.18E00	0	.02	-	 < 0.01	1.00E00	1.38E00
cell periphery (GO:0071944)	2183	32	17.33	+	1.85	8.29E-04	1.24E-01	51	33.00	+	1.55	2.24E-03	7.72E-02	8	5.09	+	1.57	1.64E-01	3.49E00
plasma membrane (GO:0005886)	2148	31	17.05	+	1.82	1.23E-03	1.37E-01	51	32.47	+	1.57	1.51E-03	8.48E-02	8	5.01	+	1.60	1.57E-01	3.71E00
Unclassified (UNCLASSIFIED)	12473	79	99.02	-	.80	2.96E-03	1.47E-01	161	188.53	-	.85	2.83E-03	8.46E-02	20	29.09	-	.69	1.19E-02	5.34E-01
sarcoplasmic reticulum (GO:0016529)	11	2	.09	+	22.90	4.54E-03	2.04E-01	1	.17	+	6.01	1.65E-01	1.34E00	0	.03	-	 < 0.01	1.00E00	1.87E00
axon (GO:0030424)	85	4	.67	+	5.93	5.40E-03	2.20E-01	6	1.28	+	4.67	2.40E-03	7.69E-02	1	.20	+	5.04	1.82E-01	3.70E00
sarcoplasm (GO:0016528)	15	2	.12	+	16.80	7.76E-03	2.90E-01	1	.23	+	4.41	2.13E-01	1.43E00	0	.03	-	 < 0.01	1.00E00	1.01E00
membrane (GO:0016020)	1555	22	12.34	+	1.78	1.09E-02	3.74E-01	41	23.50	+	1.74	7.80E-04	5.83E-02	5	3.63	+	1.38	4.10E-01	5.74E00
cell (GO:0005623)	5798	61	46.03	+	1.33	1.26E-02	3.76E-01	114	87.64	+	1.30	1.73E-03	7.77E-02	22	13.52	+	1.63	1.08E-02	5.35E-01
receptor complex (GO:0043235)	175	5	1.39	+	3.60	1.41E-02	3.96E-01	9	2.65	+	3.40	1.81E-03	7.39E-02	1	.41	+	2.45	3.37E-01	5.40E00
neuron part (GO:0097458)	382	8	3.03	+	2.64	1.24E-02	3.96E-01	13	5.77	+	2.25	9.15E-03	2.41E-01	1	.89	+	1.12	5.93E-01	6.82E00
membrane part (GO:0044425)	1534	21	12.18	+	1.72	1.60E-02	4.21E-01	39	23.19	+	1.68	1.64E-03	8.16E-02	5	3.58	+	1.40	4.05E-01	5.85E00
plasma membrane region (GO:0098590)	413	8	3.28	+	2.44	1.87E-02	4.66E-01	12	6.24	+	1.92	3.84E-02	7.16E-01	1	.96	+	1.04	6.22E-01	6.80E00
